SP500,SF1,ZEP,Sector,DateInSP500,DateOutSP500
GNW,GNW,GNW,Financials,12/01/05,11/17/15
GOOGL,GOOGL,GOOGL,Information Technology,03/31/06,01/01/20
GPC,GPC,GPC,Consumer Discretionary,01/01/99,01/01/20
GPN,GPN,GPN,Industrials,04/22/16,01/01/20
GPS,GPS,GPS,Consumer Discretionary,01/01/99,01/01/20
GR,GR,GR,Industrials,01/01/99,07/30/12
GRA,GRA,GRA,Materials,01/01/99,12/08/00
GRMN,GRMN,GRMN,Consumer Discretionary,12/11/12,01/01/20
GS,GS,GS,Financials,07/19/02,01/01/20
GT,GT,GT,Consumer Discretionary,01/01/99,01/01/20
GTW,GTW,GTW,Information Technology,01/01/99,07/31/06
GWW,GWW,GWW,Industrials,01/01/99,01/01/20
HAL,HAL,HAL,Energy,01/01/99,01/01/20
HAR,HAR,HAR,Consumer Discretionary,01/31/06,01/01/20
HAS,HAS,HAS,Consumer Discretionary,01/01/99,01/01/20
HBAN,HBAN,HBAN,Financials,01/01/99,01/01/20
HBI,HBI,HBI,Consumer Discretionary,03/20/15,01/01/20
HCA,HCA,HCA,Health Care,01/26/15,11/17/06
HCBK,HCBK,HCBK,Financials,02/14/07,11/02/15
HCN,HCN,HCN,Real Estate,01/29/09,01/01/20
HCP,HCP,HCP,Real Estate,03/28/08,01/01/20
HCR,HCR,HCR,Health Care,01/01/99,11/08/07
HD,HD,HD,Consumer Discretionary,01/01/99,01/01/20
HES,HES,HES,Energy,01/01/99,01/01/20
HI,HI,HI,Financials,01/01/99,03/28/03
HIG,HIG,HIG,Financials,01/01/99,01/01/20
HRC,HLS,HLS,Health Care,01/01/99,03/20/03
HLT,HLT,HLT,Consumer Discretionary,01/01/99,10/24/07
HMA,HMA,HMA,Health Care,11/06/01,03/01/07
HNZ,HNZ,HNZ,Consumer Discretionary,01/01/99,06/06/13
HOG,HOG,HOG,Consumer Discretionary,01/28/00,01/01/20
HOLX,HOLX,HOLX,Health Care,03/29/16,01/01/20
HON,HON,HON,Industrials,01/01/99,01/01/20
HOT,HOT,HOT,Consumer Discretionary,11/16/00,01/01/20
HP,HP,HP,Energy,02/26/10,01/01/20
HPC,HPC,HPC,Materials,01/01/99,11/13/08
HPE,HPE,HPE,Information Technology,11/02/15,01/01/20
HPQ,HPQ,HPQ,Information Technology,01/01/99,01/01/20
HRB,HRB,HRB,Consumer Discretionary,01/01/99,01/01/20
HRL,HRL,HRL,Consumer Staples,03/03/09,01/01/20
HRS,HRS,HRS,Information Technology,09/19/08,01/01/20
HSH,HSH,HSH,Consumer Staples,01/01/99,06/28/12
HSIC,HSIC,HSIC,Health Care,03/17/15,01/01/20
HSP,HSP,HSP,Health Care,04/30/04,09/02/15
HST,HST,HST,Real Estate,03/19/07,01/01/20
HSY,HSY,HSY,Consumer Staples,01/01/99,01/01/20
HUM,HUM,HUM,Health Care,01/01/99,01/01/20
